country,year,population,gdp,co2,co2_per_capita,co2_per_gdp,coal_co2,oil_co2,gas_co2,cement_co2
Afghanistan,1991,12238879.0,12047362048.0,1.914,0.156,0.159,0.25,1.204,0.389,0.046
Afghanistan,1992,13278982.0,12677539840.0,1.482,0.112,0.117,0.022,1.03,0.363,0.046
Afghanistan,1993,14943174.0,9834582016.0,1.487,0.1,0.151,0.018,1.048,0.352,0.047
Afghanistan,1994,16250799.0,7919856640.0,1.454,0.089,0.184,0.015,1.032,0.338,0.047
Afghanistan,1995,17065836.0,12307525632.0,1.417,0.083,0.115,0.015,1.011,0.322,0.047
Afghanistan,1996,17763265.0,12070125568.0,1.37,0.077,0.114,0.007,0.986,0.308,0.047
Afghanistan,1997,18452100.0,11850753024.0,1.304,0.071,0.11,0.004,0.949,0.282,0.047
Afghanistan,1998,19159996.0,11692171264.0,1.279,0.067,0.109,0.004,0.942,0.264,0.047
Afghanistan,1999,19887791.0,11517316096.0,1.092,0.055,0.095,0.004,0.777,0.242,0.047
Afghanistan,2000,20130334.0,11283793920.0,1.047,0.052,0.093,0.004,0.788,0.224,0.01
Afghanistan,2001,20284303.0,11021273088.0,1.069,0.053,0.097,0.07,0.762,0.209,0.007
Afghanistan,2002,21378123.0,18804871168.0,1.341,0.063,0.071,0.055,0.727,0.547,0.011
Afghanistan,2003,22733054.0,21074343936.0,1.56,0.069,0.074,0.092,0.992,0.466,0.01
Afghanistan,2004,23560656.0,22332569600.0,1.237,0.053,0.055,0.092,0.909,0.227,0.01
Afghanistan,2005,24404574.0,25397686272.0,1.89,0.077,0.074,0.106,1.447,0.33,0.006
Afghanistan,2006,25424100.0,28704399360.0,2.159,0.085,0.075,0.161,1.657,0.329,0.012
Afghanistan,2007,25909852.0,34507530240.0,2.8,0.108,0.081,0.747,1.733,0.308,0.012
Afghanistan,2008,26482629.0,36561043456.0,4.254,0.161,0.116,1.078,2.864,0.297,0.015
Afghanistan,2009,27466101.0,44358721536.0,6.392,0.233,0.144,1.514,4.594,0.271,0.013
Afghanistan,2010,28284088.0,47399424000.0,8.365,0.296,0.176,2.246,5.833,0.271,0.015
Afghanistan,2011,29347709.0,53326336000.0,11.838,0.403,0.222,4.181,7.335,0.308,0.015
Afghanistan,2012,30560036.0,59166900224.0,10.035,0.328,0.17,3.125,6.573,0.308,0.029
Afghanistan,2013,31622708.0,62993698816.0,9.229,0.292,0.146,3.303,5.593,0.297,0.036
Afghanistan,2014,32792527.0,64346107904.0,9.086,0.277,0.141,3.621,5.165,0.271,0.029
Afghanistan,2015,33831765.0,62783393792.0,9.67,0.286,0.154,2.722,6.625,0.282,0.041
Afghanistan,2016,34700614.0,64372215808.0,8.906,0.257,0.138,2.718,5.794,0.319,0.076
Afghanistan,2017,35688942.0,65169281024.0,9.677,0.271,0.148,3.257,6.075,0.3,0.045
Afghanistan,2018,36743040.0,65996738560.0,10.602,0.289,0.161,3.633,6.619,0.293,0.057
Afghanistan,2019,37856126.0,73085706240.0,10.825,0.286,0.148,3.701,6.841,0.245,0.038
Afghanistan,2020,39068978.0,71417708544.0,11.606,0.297,0.163,4.116,7.275,0.154,0.061
Albania,1991,3282607.0,9375856640.0,4.29,1.307,0.458,1.48,2.228,0.275,0.307
Albania,1992,3282506.0,8745674752.0,2.517,0.767,0.288,0.8,1.416,0.198,0.103
Albania,1993,3277830.0,9636341760.0,2.338,0.713,0.243,0.6,1.478,0.157,0.103
Albania,1994,3269417.0,10596114432.0,1.924,0.588,0.182,0.169,1.605,0.099,0.052
Albania,1995,3258571.0,11600732160.0,2.089,0.641,0.18,0.161,1.773,0.051,0.103
Albania,1996,3245681.0,12468868096.0,2.018,0.622,0.162,0.114,1.755,0.044,0.105
Albania,1997,3229665.0,11020137472.0,1.543,0.478,0.14,0.044,1.411,0.037,0.052
Albania,1998,3210133.0,12026242048.0,1.755,0.547,0.146,0.055,1.623,0.033,0.044
Albania,1999,3188596.0,13673693184.0,2.986,0.937,0.218,0.11,2.792,0.029,0.055
Albania,2000,3166147.0,14736835584.0,3.025,0.955,0.205,0.07,2.84,0.022,0.094
Albania,2001,3147941.0,16103904256.0,3.221,1.023,0.2,0.081,3.125,0.015,0.0
Albania,2002,3134094.0,17037279232.0,3.748,1.196,0.22,0.084,3.638,0.026,0.0
Albania,2003,3118092.0,18171076608.0,4.303,1.38,0.237,0.084,3.891,0.026,0.302
Albania,2004,3098663.0,19346601984.0,4.177,1.348,0.216,0.084,3.759,0.033,0.3
Albania,2005,3076155.0,20562851840.0,4.261,1.385,0.207,0.073,3.91,0.022,0.256
Albania,2006,3050804.0,21889974272.0,3.911,1.282,0.179,0.073,3.54,0.022,0.276
Albania,2007,3022887.0,23259283456.0,3.949,1.306,0.17,0.073,3.375,0.033,0.468
Albania,2008,2992933.0,25006229504.0,4.397,1.469,0.176,0.103,3.796,0.015,0.484
Albania,2009,2961487.0,25821550592.0,4.407,1.488,0.171,0.388,3.415,0.018,0.585
Albania,2010,2928730.0,26747820032.0,4.784,1.633,0.179,0.429,3.492,0.026,0.838
Albania,2011,2911500.0,27431047168.0,5.315,1.825,0.194,0.535,3.774,0.029,0.976
Albania,2012,2910003.0,27819812864.0,4.85,1.667,0.174,0.627,3.155,0.029,1.039
Albania,2013,2907570.0,28098562048.0,5.287,1.819,0.188,0.795,3.331,0.033,1.129
Albania,2014,2903748.0,28597168128.0,6.0,2.066,0.21,1.029,3.856,0.059,1.045
Albania,2015,2898634.0,29231665152.0,4.712,1.626,0.161,0.322,3.338,0.062,0.954
Albania,2016,2897868.0,30200692736.0,4.632,1.598,0.153,0.191,3.36,0.161,0.88
Albania,2017,2898247.0,31348975616.0,5.293,1.826,0.169,0.275,3.808,0.168,1.011
Albania,2018,2894231.0,32609001472.0,4.895,1.691,0.15,0.473,3.331,0.15,0.928
Albania,2019,2885012.0,33289746432.0,4.827,1.673,0.145,0.322,3.44,0.132,0.928
Albania,2020,2871951.0,32130725888.0,4.711,1.64,0.147,0.568,2.719,0.103,1.322
Algeria,1991,25987937.0,121105145856.0,78.807,3.032,0.651,2.689,26.066,38.428,2.969
Algeria,1992,26628568.0,127982690304.0,79.883,3.0,0.624,2.378,28.678,31.932,2.998
Algeria,1993,27277040.0,130275778560.0,81.944,3.004,0.629,1.924,27.993,36.098,2.988
Algeria,1994,27887276.0,134279856128.0,88.608,3.177,0.66,2.286,30.45,37.386,2.821
Algeria,1995,28470194.0,145054662656.0,96.777,3.399,0.667,1.935,27.081,47.222,3.165
Algeria,1996,29033045.0,156579119104.0,100.039,3.446,0.639,1.407,27.407,50.567,3.006
Algeria,1997,29579300.0,164644454400.0,88.369,2.988,0.537,1.381,30.019,39.007,3.271
Algeria,1998,30054135.0,179962888192.0,106.537,3.545,0.592,2.11,33.09,54.641,3.446
Algeria,1999,30474359.0,193179779072.0,91.449,3.001,0.473,2.173,22.188,50.92,3.435
Algeria,2000,30903895.0,208554147840.0,85.399,2.763,0.409,1.96,26.828,38.534,3.789
Algeria,2001,31331226.0,223420284928.0,86.839,2.772,0.389,2.096,28.458,41.029,3.766
Algeria,2002,31750833.0,245360918528.0,90.692,2.856,0.37,2.609,29.495,44.653,4.058
